CODIGO,nombre,latitud,longitud,DEPARTAMENTO,MUNICIPIO
35067140,MAMBITA [35067140],4.78333333,-73.31666666999999,Cundinamarca,Ubalá
35035030,SALINAS DE UPIN [35035030],4.3,-73.56666666999999,Meta,Restrepo (Meta)
38010020,RONCADOR [38010020],5.85,-67.61666667,Vichada,Puerto Carreño
26135080,UNIV PEREIRA-UTP [26135080],4.8,-75.7,RIsaralda,Pereira
35097020,CANAL DESVIACION [35097020],5.51666667,-72.93333333,Boyacá,Aquitania
21255150,GARCIA HACIENDA [21255150],4.85541667,-74.89155556,Tolima,Lérida
35060310,QUEBRADA LOS TRABAJOS [35060310],4.86666667,-73.36666667,Boyacá,Almeida
24010730,CUEVA LA HACIENDA [24010730],5.63333333,-73.36666667,Boyacá,Motavita
21117130,HATO BERMEJO [21117130],2.9166666699999997,-75.16666667,Huila,Neiva
21117140,CARACOLI [21117140],3.11666667,-75.03333332999999,Huila,Baraya
21117020,PORVENIR EL [21117020],3.18333333,-75.26666666999999,Huila,Villavieja
26135250,SIERRA LA [26135250],4.8,-75.48333333,RIsaralda,Santa Rosa De Cabal
26135260,BERLIN [26135260],4.81666667,-75.51666666999999,RIsaralda,Santa Rosa De Cabal
21195130,ITUC [21195130],4.33333333,-74.38333333,Cundinamarca,Fusagasugá
35107020,VISO EL [35107020],4.35,-72.78333332999999,Meta,Cabuyaro
24010040,RAQUIRA [24010040],5.53877778,-73.63136111,Boyacá,Ráquira
24030550,SAN PEDRO [24030550],5.56666667,-73.2,Boyacá,Toca
23120260,OTANCHE [23120260],5.66172222,-74.18461111,Boyacá,Otanche
26027050,SALVAJINA LA [26027050],2.95,-76.7,Cauca,Suárez (Cauca)
24017750,LLANO VIEJO [24017750],5.68333333,-73.63333333,Boyacá,Santa Sofía
21145060,SANTO DOMINGO [21145060],3.23072222,-74.94344444,Huila,Baraya
22010040,PUERTO SALDANA [22010040],3.38333333,-75.71666667,Tolima,Rioblanco
26145050,SAMARIA LA [26145050],5.05,-75.88333333,Caldas,Viterbo
52010090,PAISPAMBA [52010090],2.3,-76.61666667,Cauca,Sotará (Paispamba)
22047020,HAMACA LA [22047020],3.75,-75.58333332999999,Tolima,Chaparral
21160020,PST DE MONTA [21160020],3.78333333,-74.93333333,Tolima,Prado
35177020,PUERTO TEXAS [35177020],4.41838889,-71.96097222,Casanare,Mani
26010080,PALETARA [26010080],2.2,-76.46666667,Cauca,Puracé (Coconuco)
21050270,SANTA LETICIA [21050270],2.35,-76.23333333,Cauca,Puracé (Coconuco)
22057080,PUENTE CARRETERA [22057080],3.68333333,-75.3,Tolima,Coyaima
21205760,CLINICA SAN RAFAEL [21205760],4.6,-74.08333332999999,Bogotá,"Bogota, D.C"
21206040,ESAP [21206040],4.64677778,-74.09636111,Bogotá,"Bogota, D.C"
35190080,TAURAMENA [35190080],5.027257779999999,-72.86984056,Casanare,Tauramena
21050180,INSPECCION BELEN [21050180],2.23333333,-76.16666667,Huila,La Plata
21155040,DOLORES HACIENDA MADRON [21155040],3.5330555599999998,-74.90577778,Tolima,Dolores
32060050,LEJANIAS [32060050],3.53333333,-74.01666666999999,Meta,Lejanías
21205900,INDUQUIMICA [21205900],4.58333333,-74.23333333,Cundinamarca,Soacha
26167020,PINTADO EL [26167020],5.25,-75.61666667,Caldas,Riosucio (Caldas)
26020050,BODEGA CEDELCA [26020050],2.48333333,-76.58333332999999,Cauca,Popayán
